# These PC scores were calculated from the 19 BIOCLIM variables plus latitude,,,,,,,,,,,,,,,,,,,,
ind_code,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
CPL_12,-1.081455662,0.36543778,-0.047773797,1.305764744,0.067572423,0.058641544,0.418878417,0.162199764,0.249497005,0.067111415,-0.046747932,-0.107584405,0.023341546,0.003353029,0.011877944,0.069958132,0.03095757,0.024150625,0.005933862,9.97E-16
CPL_13,-1.08138635,0.365543647,-0.047822694,1.30574201,0.067572698,0.058758214,0.418755386,0.161987366,0.249400209,0.066982483,-0.046732511,-0.107622963,0.023319128,0.003388015,0.011870085,0.069941681,0.030944073,0.024157963,0.005930393,9.97E-16
CPL_14,-1.088810351,0.387159993,-0.088335386,1.262462311,0.039316495,0.03221766,0.395263583,0.155460071,0.274171475,0.083776363,-0.059804018,-0.079093485,-0.001157045,-0.015836115,0.000794384,0.063674494,0.016723691,0.017138843,0.022262131,9.54E-16
CPL_15,-1.088671728,0.387371729,-0.088433181,1.262416844,0.039317045,0.032451001,0.39501752,0.155035276,0.273977883,0.083518498,-0.059773177,-0.079170601,-0.001201882,-0.015766143,0.000778666,0.06364159,0.016696697,0.017153519,0.022255193,9.40E-16
CPL_01,-1.149709049,0.427992081,-0.041298535,1.293527206,0.056071722,0.041620555,0.413173544,0.160063209,0.239858369,0.089820293,-0.055811884,-0.063861245,0.010426917,0.008315972,-0.012756726,0.069351989,0.013156161,-0.010592298,0.002557112,9.43E-16
CPL_02,-1.130173377,0.392569143,-0.05794916,1.255770628,0.057149311,0.03952528,0.3960426,0.17547464,0.245594654,0.063475425,-0.057510575,-0.076617596,0.011784552,-0.008648635,0.01593806,0.061163405,0.020400886,0.01473866,0.018632278,9.81E-16
CPL_03,-1.135290545,0.408683943,-0.051229603,1.291000342,0.035273393,0.048972512,0.406243377,0.169755101,0.226664706,0.088414697,-0.071049797,-0.068624206,0.004596708,-0.000822579,-0.001110076,0.061501646,0.017734244,0.021876224,0.005891406,1.00E-15
CPL_04,-1.135276683,0.408705116,-0.051239382,1.290995796,0.035273448,0.048995846,0.406218771,0.169712621,0.226645347,0.08838891,-0.071046713,-0.068631918,0.004592224,-0.000815582,-0.001111648,0.061498356,0.017731545,0.021877692,0.005890712,1.00E-15
CPL_05,-1.156436324,0.399004862,-0.064316422,1.272221276,0.042824297,0.040240323,0.398252634,0.165965833,0.223655955,0.08891659,-0.062061061,-0.076984936,0.007748962,0.007114999,0.001608552,0.065594016,0.01918023,0.013049719,0.011700158,9.74E-16
CPL_07,-1.135373719,0.408556901,-0.051170926,1.291027622,0.035273063,0.048832507,0.406391015,0.170009979,0.226780861,0.088569416,-0.071068302,-0.068577937,0.00462361,-0.000864562,-0.001100646,0.061521388,0.01775044,0.021867419,0.005895569,1.00E-15
CPL_08,-1.156325426,0.399174251,-0.064394658,1.272184902,0.042824737,0.040426996,0.398055784,0.165625996,0.223501082,0.088710297,-0.062036388,-0.077046629,0.007713092,0.007170977,0.001595977,0.065567693,0.019158635,0.013061459,0.011694607,9.74E-16
CPL_09,-1.126610019,0.394850304,-0.056558158,1.262806963,0.061342191,0.039003352,0.39841665,0.175432562,0.247528177,0.066889715,-0.050953203,-0.092108844,0.000227375,-0.013674487,-0.004885558,0.052770197,0.012653633,0.005479462,0.009465373,9.53E-16
CYH_01,1.759979862,-2.496125017,-3.001055942,-0.314500472,1.250284849,0.808556533,-0.081854384,0.35969106,0.175402613,0.120319446,0.045772624,-0.19773529,0.078313082,0.025992761,-0.072682883,0.019982598,0.009858303,-0.034803154,-0.00772082,-1.66E-15
CYH_02,1.917053993,-1.531225101,-3.07394159,0.279583124,1.574719842,0.28495268,-0.064430821,0.461912386,0.270930008,0.205583785,0.090365365,-0.298881609,0.099147209,0.008932557,-0.074335988,0.049349594,0.0548398,-0.038608937,0.006662532,-1.84E-15
CYH_03,1.867778247,-1.353739936,-3.08110479,0.248562517,1.661632597,0.206892064,-0.106037054,0.517626458,0.262267735,0.213434653,0.088552431,-0.27817528,0.114741274,0.011649207,-0.080989917,0.051186206,0.063846808,-0.027900273,0.009452882,-1.86E-15
DCK_01,3.545375626,0.411481956,0.317313145,-0.642235375,-0.631710604,-0.393304199,0.38106174,0.004441438,-0.129197318,0.135907595,0.084699221,0.07456281,0.058203691,-0.004155093,-0.067497594,-0.01446221,0.043548282,0.004981757,0.017699343,3.81E-16
DCK_02,3.545495311,0.411664766,0.31722871,-0.64227463,-0.631710128,-0.393102734,0.380849292,0.004074673,-0.129364463,0.135684957,0.084725849,0.074496229,0.05816498,-0.00409468,-0.067511164,-0.014490619,0.043524976,0.004994427,0.017693353,3.81E-16
DCK_03,3.545594856,0.411816814,0.317158484,-0.64230728,-0.631709733,-0.392935172,0.380672594,0.003769627,-0.129503481,0.135499783,0.084747996,0.074440852,0.058132782,-0.004044433,-0.067522451,-0.014514248,0.043505592,0.005004966,0.01768837,3.81E-16
DCK_04,3.577186368,0.384070776,0.320567724,-0.672032029,-0.642768015,-0.361595188,0.389618522,0.005072208,-0.1609902,0.162512864,0.071497682,0.08474902,0.058147811,-0.021805426,-0.054834451,-0.000394664,0.022757501,-0.011949053,0.017618978,3.51E-16
DCK_05,3.57729535,0.384237237,0.320490841,-0.672067774,-0.642767583,-0.361411741,0.389425074,0.004738244,-0.161142397,0.162310137,0.071521928,0.084688394,0.058112561,-0.021750416,-0.054846808,-0.000420532,0.02273628,-0.011937515,0.017613524,3.51E-16
DCK_06,3.549655992,0.385393871,0.307464189,-0.615272498,-0.682507675,-0.395076614,0.370880856,0.01603851,-0.12554487,0.09578576,0.055885042,0.074802617,0.055657035,-0.008450553,-0.055918116,-0.005503214,0.053340933,-0.016379611,0.024935836,3.01E-16
DCK_07,3.634430998,0.358815606,0.276045588,-0.686546926,-0.669835919,-0.381379528,0.401138524,0.009511506,-0.151247774,0.164048371,0.055079904,0.092870853,0.032823571,-0.009510774,-0.045791326,0.00047877,0.024890355,0.021972523,-0.001421942,3.53E-16
DCK_09,3.653145053,0.375584699,0.283541162,-0.667685935,-0.669042842,-0.37853139,0.406045808,0.014921408,-0.148391321,0.165661374,0.059369622,0.099285234,0.038503331,-0.011470481,-0.059897788,0.005158503,0.016718688,0.00132976,0.01302685,2.42E-16
DCK_10,3.644281758,0.314812223,0.295015591,-0.673145471,-0.694515489,-0.343573756,0.408964569,0.004190599,-0.145270633,0.157753835,0.059443291,0.087212735,0.027541434,-0.016874678,-0.074497227,-0.003452595,0.010337427,1.49E-05,0.014429747,1.89E-16
DCK_11,3.649892294,0.277825752,0.311452162,-0.68008983,-0.723939225,-0.324480093,0.406635507,-0.001932966,-0.151871342,0.152458196,0.030090492,0.092550044,0.010147901,-0.031381993,-0.056401368,-0.005666396,0.018022239,0.003843497,0.014369813,2.36E-16
DCK_12,3.64988922,0.277821056,0.311454331,-0.680088822,-0.723939237,-0.324485269,0.406640964,-0.001923544,-0.151867048,0.152463915,0.030089808,0.092551754,0.010148896,-0.031383545,-0.05640102,-0.005665667,0.018022838,0.003843172,0.014369967,2.36E-16
DCK_13,3.670986495,0.264810384,0.318431612,-0.638583515,-0.703472993,-0.317820018,0.418801787,-0.008335254,-0.154916941,0.163463888,0.038325437,0.059700374,-0.001214959,-0.023279064,-0.038273005,-0.004886278,0.0224007,-0.002416759,0.015860117,3.47E-16
DCK_15,3.63442566,0.358807454,0.276049354,-0.686545175,-0.66983594,-0.381388512,0.401147997,0.009527862,-0.15124032,0.164058299,0.055078716,0.092873822,0.032825297,-0.009513468,-0.045790721,0.000480037,0.024891394,0.021971958,-0.001421675,3.53E-16
DPR_01,-1.412328456,-1.778716652,0.146709926,0.632414644,-1.344016392,-0.252854221,-0.218042636,-0.120737957,0.050582251,0.081227221,0.034670359,0.090833938,-0.081836512,0.009878041,-0.045998852,-0.007118838,-0.020003084,0.02564031,-0.002845566,1.35E-15
DPR_02,-1.412329405,-1.778718102,0.146710595,0.632414955,-1.344016395,-0.252855819,-0.218040951,-0.120735048,0.050583576,0.081228987,0.034670148,0.090834466,-0.081836205,0.009877561,-0.045998745,-0.007118613,-0.020002899,0.02564021,-0.002845519,1.35E-15
DPR_04,-1.407655036,-1.780654572,0.146868063,0.629325247,-1.341564485,-0.253668478,-0.218900192,-0.118507669,0.052372293,0.080455125,0.029921425,0.091407049,-0.081163326,0.017606146,-0.046394825,-0.013788318,-0.020170976,0.023493468,-0.002930446,1.35E-15
DPR_05,-1.364699053,-1.640816933,0.259022161,0.530504432,-1.558259705,-0.216813987,-0.157341756,-0.07664079,0.113500656,0.125848197,0.121381898,-0.075382871,-0.075689449,0.097003642,0.023703161,-0.005320474,0.020887528,0.017201752,-0.007727673,1.73E-15
DPR_06,-1.407572729,-1.780528855,0.146809998,0.629298251,-1.341564158,-0.253529932,-0.219046291,-0.118759891,0.052257349,0.080302019,0.029939737,0.091361261,-0.081189947,0.017647692,-0.046404158,-0.013807854,-0.020187003,0.023502182,-0.002934566,1.35E-15
DPR_07,-1.412268264,-1.778624713,0.146667462,0.632394902,-1.344016152,-0.2527529,-0.21814948,-0.12092241,0.05049819,0.081115251,0.034683751,0.090800453,-0.081855981,0.009908424,-0.046005677,-0.007133126,-0.020014805,0.025646683,-0.002848579,1.35E-15
DPR_08,-1.484079192,-1.570198051,0.152172534,0.680513532,-1.250172574,-0.297109897,-0.066279941,-0.157033941,0.04888998,0.082909945,-0.005959041,0.107056222,-0.065588505,0.022010468,-0.042544237,-0.019721322,-0.011456392,0.024040932,-0.000482413,1.33E-15
DPR_09,-1.483978333,-1.570043997,0.152101382,0.680480452,-1.250172173,-0.296940123,-0.066458971,-0.157343013,0.048749127,0.082722329,-0.005936602,0.107000114,-0.065621127,0.022061378,-0.042555672,-0.019745262,-0.011476032,0.024051609,-0.000487461,1.28E-15
DPR_10,-1.483926356,-1.569964607,0.152064714,0.680463404,-1.250171967,-0.296852632,-0.066551232,-0.15750229,0.04867654,0.082625642,-0.005925038,0.106971199,-0.065637939,0.022087614,-0.042561566,-0.019757599,-0.011486153,0.024057112,-0.000490063,1.28E-15
DPR_11,-1.421712694,-1.487258348,0.315870154,0.595716465,-1.496260797,-0.257404798,-0.161238621,-0.071277008,0.093510867,0.165600504,0.120937598,-0.062060508,-0.065957274,0.104269109,0.020023169,-0.009378541,0.011711403,0.012238262,-0.015431365,1.64E-15
DPR_12,-1.4224477,-1.507817634,0.246709546,0.538510121,-1.470967452,-0.21947556,-0.01375012,-0.102611342,0.136453392,0.092303473,0.08708403,-0.081465371,-0.058817157,0.095523354,0.026051348,-0.015586198,0.031417885,0.011551594,-0.010204229,1.69E-15
DPR_13,-1.422431027,-1.507792168,0.246697784,0.538504653,-1.470967386,-0.219447495,-0.013779716,-0.102662434,0.136430107,0.092272458,0.087087739,-0.081474646,-0.05882255,0.09553177,0.026049457,-0.015590156,0.031414639,0.011553359,-0.010205064,1.69E-15
DPR_14,-1.483888923,-1.56990743,0.152038306,0.680451127,-1.250171818,-0.296789621,-0.066617678,-0.157617,0.048624263,0.082556009,-0.00591671,0.106950375,-0.065650046,0.022106509,-0.04256581,-0.019766484,-0.011493442,0.024061075,-0.000491936,1.28E-15
DPR_15,-1.484126341,-1.570270068,0.152205797,0.680528997,-1.250172761,-0.297189262,-0.066196249,-0.156889456,0.048955826,0.082997652,-0.005969531,0.107082451,-0.065573254,0.021986669,-0.042538891,-0.01971013,-0.011447211,0.02403594,-0.000480053,1.33E-15
FIS_10,-9.238194613,4.3752732,0.810403716,-1.293795374,0.279227362,0.145741028,0.075921974,-0.09452608,-0.546459594,0.145067755,0.122306391,-0.076027426,-0.036060281,0.056157688,0.039430209,0.056680057,0.016874105,-0.014278515,-0.005338899,1.26E-15
FIS_11,-9.25724783,4.338568021,0.815660591,-1.305979173,0.258312787,0.157619424,0.083868234,-0.109087921,-0.553568381,0.140829791,0.104082859,-0.08721272,-0.056554353,0.042891181,0.051451597,0.042817873,0.008516947,-0.023979429,-0.002040436,1.43E-15
FIS_12,-9.257220105,4.338610367,0.815641033,-1.305988266,0.258312897,0.157666092,0.083819022,-0.109172879,-0.553607099,0.140778219,0.104089027,-0.087228143,-0.05656332,0.042905175,0.051448453,0.042811292,0.008511548,-0.023976494,-0.002041824,1.43E-15
FIS_14,-9.257289417,4.3385045,0.81568993,-1.305965533,0.258312621,0.157549422,0.083942053,-0.108960481,-0.553510303,0.140907151,0.104073607,-0.087189585,-0.056540902,0.042870189,0.051456312,0.042827744,0.008525045,-0.023983832,-0.002038354,1.43E-15
FIS_15,-9.25975794,4.357519298,0.806002606,-1.302683221,0.276221102,0.143750752,0.07592947,-0.101025231,-0.551232438,0.148754682,0.122576791,-0.09446361,-0.049823213,0.050304024,0.041551184,0.033894301,0.01192171,-0.000545708,-0.001882546,1.49E-15
FIS_01,-9.238167297,4.461428274,0.886756177,-1.215380618,0.336211851,0.131906448,0.1063361,-0.108526106,-0.571334555,0.14204789,0.129064974,-0.084263471,-0.037089132,0.04173192,0.076894999,0.071069673,0.032387032,-0.002925339,-0.00403841,1.09E-15
FIS_04,-9.238236609,4.461322407,0.886805074,-1.215357885,0.336211575,0.131789778,0.106459131,-0.108313708,-0.571237759,0.142176822,0.129049554,-0.084224913,-0.037066714,0.041696934,0.076902858,0.071086125,0.032400528,-0.002932677,-0.004034941,1.09E-15
FIS_05,-7.749436595,3.835387442,0.086665033,-1.258492361,0.49323189,0.2282442,0.38536406,-0.096377502,-0.200596922,-0.225553758,0.162764904,-0.005325782,-0.079301453,-0.122847707,0.043503157,0.085635576,0.019206312,-0.023411021,0.024944537,8.06E-16
FIS_06,-9.199160962,4.305687212,0.772511083,-1.317643153,0.248707466,0.170225216,0.088964895,-0.115544899,-0.507534015,0.127939214,0.135072556,-0.088435714,-0.047500234,0.025696703,0.037927657,0.046475707,0.012028071,-0.016214971,-0.001295429,1.18E-15
FNO_10,3.765317385,1.660764314,-0.623296812,0.381753324,0.49331324,1.214299008,-0.56600943,-0.426079628,-0.176927832,-0.195340973,-0.166057971,0.093611089,0.1072354,0.119462279,0.014556571,0.005837097,-0.001401136,-0.001886128,0.001948267,-3.07E-15
FNO_11,3.787814486,1.569003314,-0.634538959,0.376961896,0.423209426,1.255907526,-0.564637903,-0.448815309,-0.166557924,-0.195707632,-0.172569529,0.106032311,0.077152755,0.106470452,0.019633595,0.006200194,-0.016176819,-0.022047458,0.009255952,-2.95E-15
FNO_12,3.698307849,1.683592534,-0.675905755,0.343318269,0.537255154,1.185555664,-0.590572908,-0.41823233,-0.172415998,-0.178620869,-0.14308008,0.066567684,0.105867134,0.130236285,0.030723029,0.015967955,0.004069505,-0.002919125,0.011835387,-3.11E-15
FNO_13,3.659472554,1.648982296,-0.675085938,0.339607315,0.499708252,1.197106607,-0.597802305,-0.435947319,-0.202533239,-0.159588161,-0.168160307,0.06886849,0.089302662,0.139644684,0.041273172,0.025490113,0.007561633,-0.006219929,-0.008219531,-3.26E-15
FNO_14,3.704473368,1.65958469,-0.66149293,0.341847794,0.514977037,1.199455205,-0.595524486,-0.421664738,-0.1780167,-0.183731506,-0.159079772,0.075280386,0.098876499,0.122055102,0.0412523,0.025649312,0.000508358,-0.025381249,0.012842704,-3.17E-15
FNO_15,3.690809903,1.700691487,-0.684061312,0.335007367,0.544473,1.175103891,-0.603116649,-0.411295577,-0.174665616,-0.171675927,-0.158949133,0.064704867,0.091655095,0.124418601,0.050502918,0.020247134,0.006256382,-0.011264272,0.011247225,-3.22E-15
FNO_01,3.750007178,1.677310783,-0.6433621,0.376065193,0.520410377,1.195416498,-0.561971163,-0.422396387,-0.171333799,-0.186447868,-0.144654315,0.073599798,0.110341373,0.128161409,-0.00441166,-0.006899795,0.002121457,0.01237477,0.012292315,-3.01E-15
FNO_02,3.774652185,1.80390343,-0.531607115,0.230771361,0.268645114,1.250307841,-0.52360676,-0.371830199,-0.103741312,-0.155068943,-0.07823124,-0.0566531,0.119640522,0.200168364,0.052942414,0.002309553,0.033230757,-0.01758691,1.66E-05,-2.74E-15
FNO_03,3.802838483,1.732594081,-0.575155543,0.227217751,0.21238071,1.278374907,-0.512499393,-0.380337678,-0.095790134,-0.150781326,-0.074008288,-0.056542753,0.102592384,0.192209463,0.048486594,-0.005611359,0.021644233,-0.012622644,0.008676453,-2.56E-15
FNO_04,3.791547582,1.588638154,-0.669916378,0.375659318,0.439871673,1.240544114,-0.556264982,-0.435259699,-0.16934122,-0.189460542,-0.159012452,0.088879201,0.089371597,0.111776339,0.005266083,-0.003848992,-0.011046798,-0.00178903,0.005201316,-2.89E-15
FNO_05,3.728033931,1.690118542,-0.661151579,0.354087477,0.532879688,1.178170571,-0.58128125,-0.417458304,-0.175735784,-0.179685117,-0.154701365,0.070833992,0.102785788,0.129531311,0.022232332,0.003053634,0.008029879,-0.001097634,0.001415598,-3.23E-15
FNO_06,3.757471253,1.682980217,-0.639456937,0.381565376,0.517511699,1.19798868,-0.560646771,-0.420785035,-0.170604257,-0.187524627,-0.148584619,0.08204238,0.114124135,0.127325032,0.000608706,-0.005169204,0.004632994,0.016998112,-0.002574768,-3.01E-15
FNO_07,3.678406782,1.688996023,-0.676526429,0.358197549,0.519929225,1.172576875,-0.583464044,-0.430463909,-0.201333268,-0.153865467,-0.149635953,0.068236991,0.102686435,0.144752835,0.017242837,0.020398475,0.006970856,-0.003286135,0.007663901,-3.10E-15
FNO_08,3.722809219,1.692765866,-0.660518187,0.357946786,0.530004557,1.179392943,-0.580644703,-0.420342961,-0.177585377,-0.18017588,-0.149572319,0.070792695,0.101598284,0.12221246,0.023887778,0.010735122,0.00518312,0.00229061,0.001953047,-3.23E-15
FNO_09,3.748798022,1.651637453,-0.632562555,0.365994388,0.496665769,1.208442474,-0.571651609,-0.428277506,-0.179527422,-0.19586012,-0.162620868,0.092660929,0.11263799,0.126326354,0.023504751,0.011190905,0.001877542,-0.004342297,0.016415068,-3.29E-15
GAM_10,-0.023540748,1.461037543,2.571934031,0.737350895,0.418482335,-0.462787085,0.098822106,-0.155364025,-0.047990508,-0.162575557,0.129966887,0.107862802,0.088955622,-0.069660271,-0.00821868,-0.040917439,0.037404845,-0.027694361,0.003681005,6.96E-16
GAM_11,-0.015427054,1.471989302,2.61812863,0.720546086,0.442034586,-0.44271621,0.103150904,-0.178111688,-0.04581407,-0.12783399,0.12959763,0.134262394,0.093355122,-0.075439618,0.005126272,-0.033903061,0.021159293,-0.013587156,-0.006049837,7.13E-16
GAM_12,-0.029877264,1.402562472,2.583705941,0.728434142,0.387990288,-0.426454485,0.100180758,-0.164082156,-0.046024571,-0.173109803,0.121329802,0.116340942,0.092998761,-0.070916883,-0.000668719,-0.040886743,0.043598012,-0.018882131,-0.004464831,5.83E-16
